municipio,codigo,gentilico,prefeito,area_km2,populacao_censo_2022,densidade_hab_km2,populacao_estimada_2025,escolarizacao_pct,idhm,mortalidade_infantil,receitas_brutas,despesas_brutas,pib_per_capita
Domingos Mourão,2203420,domingos-mouronense,MARIA IRINELDA GOMES DE OLIVEIRA SILVA,848.705,4075,4.8,4129,99.64,0.55,,39774120.93,36698142.72,13728.32
Dom Inocêncio,2203453,inocentino,FERNANDE RIBEIRO DE CASTRO FILHO,3871.83,9159,2.37,9332,99.31,0.549,9.52,35917628.36,38061631.88,23191.4
Elesbão Veloso,2203503,elesbonense,JOSÉ RONALDO GOMES BARBOSA,1383.976,13607,9.83,13743,99.46,0.58,15.75,71618205.98,65471578.3,15350.39
Eliseu Martins,2203602,eliseu-martinino,MARCOS AURÉLIO GUIMARÃES DE ARAUJO,1097.866,4377,3.99,4421,99.33,0.595,,34323259.74,30579229.37,15043.25
Esperantina,2203701,esperantinense,IVANARIA DO NASCIMENTO ALVES SAMPAIO,911.736,40970,45.08,42710,99.03,0.605,11.38,194483890.67,201712084.16,15398.9
Fartura do Piauí,2203750,farturense,ORLANDO COSTA CAMPINHO BRAGA,713.047,5284,7.41,5426,98.17,0.548,12.99,44749431.66,42633085.03,11947.83
Flores do Piauí,2203800,florentino-do-piauí,EVANDRO FERREIRA DA COSTA,946.72,4414,4.66,4512,99.6,0.547,20.83,35438696.0,31864080.21,12494.08
Floresta do Piauí,2203859,florestense,CLAUDIONOR URBANO DE OLIVEIRA,221.519,2333,10.45,2354,96.96,0.538,,37833392.67,40203218.84,13563.0
Floriano,2203909,florianense,ANTÔNIO REIS NETO,3407.978,62036,18.2,64393,99.24,0.7,10.55,349745159.78,322005149.61,27298.79
Francinópolis,2204006,francinopolitano,ANTÔNIO LUIZ DANTAS DA FONSECA,268.704,4505,16.77,4481,100.0,0.564,,39220771.24,35025971.41,12694.99
Francisco Ayres,2204105,airense,EUGÊNIA DE SOUSA NUNES,682.514,4412,6.72,4548,99.32,0.577,,35045406.95,31648895.64,15148.0
Francisco Macedo,2204154,francisco macedense,ADEILSON ANTÃO DE CARVALHO,179.245,2929,16.34,2985,99.41,0.553,24.39,35814551.26,29600257.4,12788.14
Francisco Santos,2204204,francisco-santense,JOSÉ EDSON DE CARVALHO,492.191,8237,16.74,8349,99.02,0.608,22.73,41514282.7,42937928.96,13541.51
Fronteiras,2204303,fronteirense,EUDES AGRIPINO RIBEIRO,777.179,10259,13.2,10344,97.92,0.619,24.1,72231036.22,68067818.41,13660.66
Geminiano,2204352,geminianense,FRANCISCO JAILLSON DA SILVA CAMPOS,440.606,5445,12.36,5604,97.59,0.561,14.93,34838999.98,32805477.13,13018.59
Gilbués,2204402,gilbuense,AMILTON LUSTOSA FIGUEREDO FILHO,3495.692,10892,3.12,11193,99.72,0.548,5.18,86359959.9,83546956.69,45029.85
Guadalupe,2204501,guadalupense,JESSE JAMES LIMA MIRANDA,1026.538,10270,10.0,10480,99.22,0.65,17.05,76630026.75,77178591.67,56958.73
Guaribas,2204550,guaribano,JOÉRCIO MATIAS DE ANDRADE,3118.231,4276,1.37,4344,98.46,0.508,25.0,38693316.8,33864109.4,14100.55
Hugo Napoleão,2204600,hugo-napoleonense,LUCIANO BARRETO DE CARVALHO FILHO,224.573,3518,15.67,3550,98.87,0.599,81.08,31686332.94,31190193.56,11700.17
Ilha Grande,2204659,ilhagrandense,MARINA DE OLIVEIRA BRITO,129.696,9274,71.51,9522,99.65,0.563,15.63,51705182.18,48276855.0,14324.15
Inhuma,2204709,inhumense,ELBERT HOLANDA MOURA,978.222,14958,15.29,15268,99.34,0.624,20.0,72272664.2,71275980.22,12709.56
Ipiranga do Piauí,2204808,ipiranguense,FRANCISCO ELVIS RAMOS VIEIRA,529.417,9420,17.79,9627,100.0,0.63,10.1,54464556.78,49897788.51,10805.77
Isaías Coelho,2204907,isaiense,WALDEMAR MAURIZ FILHO,800.687,7774,9.71,7867,98.39,0.582,,51644298.91,44387826.7,12081.16
Itainópolis,2205003,itainopolense,MIGUEL RODRIGUES DE MOURA,827.62,10790,13.04,10969,98.51,0.541,19.42,62999327.37,60798898.9,11756.39
Itaueira,2205102,itaueirense,OSMUNDO DE MORAES ANDRADE,2554.178,10323,4.04,10477,99.26,0.583,9.35,58030817.3,55219809.67,15919.97
Jacobina do Piauí,2205151,jacobinense,VANDERLEI RAIMUNDO DE CARVALHO,1333.796,5613,4.21,5711,99.58,0.535,,65472036.35,65292918.99,16246.53
Jaicós,2205201,jaicoense,JOSE WESLLY DE OLIVEIRA BISPO,866.788,17527,20.22,17789,98.96,0.524,29.13,101471761.29,91573337.23,12226.28
